Submitter	bases	rel_bases
University of Maryland, College Park	1.16652849032e+12	9.80407346399e-05
TOHOKU	1.1647737747e+12	9.78932597945e-05
DUKE-NUS	1.16345200516e+12	9.77821718465e-05
UPENNBL	1.16279423539e+12	9.7726889672e-05
Pacific Biosciences	1.16073832939e+12	9.75541013209e-05
UMCU	1.16029538086e+12	9.75168737693e-05
Washington State University	1.1565820526e+12	9.72047875802e-05
ISB	1.15626244531e+12	9.71779262276e-05
St Jude Children's Research Hospital	1.14872293278e+12	9.6544268882e-05
European Molecular Biology Laboratory	1.14858823971e+12	9.65329486198e-05
LEIBNIZ INSTITUTE FOR AGE RESEARCH - FRITZ LIPMANN	1.14110474089e+12	9.59039989391e-05
NHGRI/GTB	1.13557698627e+12	9.54394195234e-05
The Scripps Research Instiute	1.1318402841e+12	9.51253688778e-05
Fred Hutchinson Cancer Research Center-phs000410	1.1296627836e+12	9.49423611327e-05
Houston Methodist Research Institute	1.12952101471e+12	9.49304461845e-05
The University of Arizona	1.12549868982e+12	9.45923904149e-05
University of Connecticut	1.12284393024e+12	9.43692714928e-05
ZheJiang Academy Of Agricultural Sciences	1.1225249945e+12	9.434246658e-05
Memorial Sloan-Kettering Cancer Center-phs000612	1.12046213467e+12	9.41690937949e-05
The Chinese University of Hong Kong	1.11768682021e+12	9.39358428536e-05
Yangzhou University	1.11625718456e+12	9.38156893119e-05
Sichuan University	1.11617060593e+12	9.38084128222e-05
pku	1.11583205258e+12	9.37799591505e-05
Johns Hopkins University School of Medicine Center	1.10763559348e+12	9.30910888156e-05
Kunming Institute of Zoology, Chinese Academy of S	1.10375877569e+12	9.27652621702e-05
UBCDB-RL	1.09861329416e+12	9.2332810847e-05
Beijing Chaoyang Hospita	1.098347399e+12	9.23104637232e-05
IBRC	1.0915020764e+12	9.17351494795e-05
Freie Universitaet Berlin	1.08338489863e+12	9.10529423333e-05
Peter MacCallum Cancer Centre	1.07779426993e+12	9.05830786741e-05
Imperial College London	1.07619371537e+12	9.04485602758e-05
University of Illinois	1.07309615013e+12	9.01882258096e-05
PHASIBEAM	1.06563591184e+12	8.95612310562e-05
UWML	1.06470414517e+12	8.94829208483e-05
Max Planck Institute for molecular Genentics, Berl	1.06267443295e+12	8.93123339496e-05
Lieber Institute for Brain Development	1.06243059106e+12	8.929184029e-05
